sensor_type,device_type,timestamps,x,y,z
bmi160_accelerometer,smartphone,1497147985840,1.4849122,2.4501052,7.7598634
bmi160_accelerometer,smartphone,1497147985843,1.5543678,2.5770411,7.800579
bmi160_accelerometer,smartphone,1497147985845,1.5256275,2.6225464,7.9059596
bmi160_accelerometer,smartphone,1497147985847,1.590293,2.7015822,8.167017
bmi160_accelerometer,smartphone,1497147985850,1.6669337,2.7303224,8.420889
bmi160_accelerometer,smartphone,1497147985853,1.7938697,2.8596535,8.641231
bmi160_accelerometer,smartphone,1497147985856,1.9830762,2.8883936,8.490345
bmi160_accelerometer,smartphone,1497147985859,2.1124072,2.7446926,8.380174
bmi160_accelerometer,smartphone,1497147985861,2.2848487,2.687212,8.2197075
bmi160_accelerometer,smartphone,1497147985863,2.4908204,2.4932153,8.303533
bmi160_accelerometer,smartphone,1497147985866,2.4764502,1.5711329,8.068821
bmi160_accelerometer,smartphone,1497147985869,2.5219557,1.3819263,7.94907
bmi160_accelerometer,smartphone,1497147985872,2.6153615,1.2741505,7.6425076
bmi160_accelerometer,smartphone,1497147985874,2.8500733,1.3507911,7.2760696
bmi160_accelerometer,smartphone,1497147985876,2.9602442,1.3699512,7.1156034
bmi160_accelerometer,smartphone,1497147985879,3.0368848,1.3004956,6.8425713
bmi160_accelerometer,smartphone,1497147985881,2.924319,1.2885206,6.871311
bmi160_accelerometer,smartphone,1497147985884,2.7901978,1.3052857,6.856941
bmi160_accelerometer,smartphone,1497147985887,2.6033864,1.3795313,7.055728
bmi160_accelerometer,smartphone,1497147985889,2.4189699,1.4849122,7.3694754
bmi160_accelerometer,smartphone,1497147985892,2.1603076,1.6334034,7.810159
bmi160_accelerometer,smartphone,1497147985894,1.5807129,1.8896705,8.495134
bmi160_accelerometer,smartphone,1497147985897,1.2621753,2.1627028,9.395662
bmi160_accelerometer,smartphone,1497147985899,1.0178833,2.411785,10.269844
bmi160_accelerometer,smartphone,1497147985901,0.728086,2.4932153,11.215877
bmi160_accelerometer,smartphone,1497147985905,0.4526587,2.6584718,11.857742
bmi160_accelerometer,smartphone,1497147985907,0.24668702,2.6225464,12.456497
bmi160_accelerometer,smartphone,1497147985909,0.14849122,2.5075855,13.012141
bmi160_accelerometer,smartphone,1497147985911,0.11256592,2.411785,13.210928
bmi160_accelerometer,smartphone,1497147985914,0.20357667,2.1435425,13.1438675
bmi160_accelerometer,smartphone,1497147985917,0.3065625,1.8345851,13.002562
bmi160_accelerometer,smartphone,1497147985920,0.39757326,1.5974782,12.705579
bmi160_accelerometer,smartphone,1497147985922,0.45026368,1.4130616,12.264895
bmi160_accelerometer,smartphone,1497147985925,1.3100758,0.62510014,11.886482
bmi160_accelerometer,smartphone,1497147985927,1.8130299,-0.24668702,11.426639
bmi160_accelerometer,smartphone,1497147985929,2.1483326,-1.1639795,10.799144
bmi160_accelerometer,smartphone,1497147985932,2.4764502,-1.9830762,10.102193
bmi160_accelerometer,smartphone,1497147985934,2.8380983,-3.171006,9.374106
bmi160_accelerometer,smartphone,1497147985938,3.3721876,-4.3134303,8.660391
bmi160_accelerometer,smartphone,1497147985940,3.0752053,-5.336104,8.243657
bmi160_accelerometer,smartphone,1497147985942,1.336421,-6.2845316,8.2125225
bmi160_accelerometer,smartphone,1497147985945,-1.1975098,-6.2342362,8.890313
bmi160_accelerometer,smartphone,1497147985947,-2.6512868,-5.633086,8.322693
bmi160_accelerometer,smartphone,1497147985950,-2.2728736,-3.755391,7.89638
bmi160_accelerometer,smartphone,1497147985952,-2.4956105,-2.1746778,8.380174
bmi160_accelerometer,smartphone,1497147985955,-2.6201515,-0.73048097,8.657996
bmi160_accelerometer,smartphone,1497147985957,-2.6441016,0.69216067,9.177715
bmi160_accelerometer,smartphone,1497147985957,-3.0081446,1.7914747,9.297466
bmi160_accelerometer,smartphone,1497147985959,-3.1997461,2.572251,9.101074
