sensor_type,device_type,timestamps,x,y,z
bmi160_gyroscope,smartphone,1497147985850,-2.5638564,-1.2659574,0.6579997
bmi160_gyroscope,smartphone,1497147985852,-2.592604,-1.2084622,0.6729058
bmi160_gyroscope,smartphone,1497147985856,-2.6053805,-1.1264784,0.7027181
bmi160_gyroscope,smartphone,1497147985859,-2.6181574,-1.0359769,0.73359513
bmi160_gyroscope,smartphone,1497147985861,-2.619222,-0.9284397,0.7559543
bmi160_gyroscope,smartphone,1497147985864,-2.595798,-0.80493164,0.7729899
bmi160_gyroscope,smartphone,1497147985866,-2.5627916,-0.6718411,0.7857666
bmi160_gyroscope,smartphone,1497147985868,-2.5127497,-0.51213247,0.8102553
bmi160_gyroscope,smartphone,1497147985871,-2.453125,-0.36945936,0.8272909
bmi160_gyroscope,smartphone,1497147985873,-2.4116008,-0.20868598,0.84752065
bmi160_gyroscope,smartphone,1497147985876,-2.3583646,-0.0436537,0.8741387
bmi160_gyroscope,smartphone,1497147985879,-2.3019342,0.12883165,0.90927464
bmi160_gyroscope,smartphone,1497147985881,-2.2444391,0.31196424,0.9305691
bmi160_gyroscope,smartphone,1497147985884,-2.1933322,0.49829102,0.95825195
bmi160_gyroscope,smartphone,1497147985886,-2.1262546,0.6899414,0.9859348
bmi160_gyroscope,smartphone,1497147985888,-2.0645006,0.89223903,1.0136176
bmi160_gyroscope,smartphone,1497147985891,-1.9761285,1.0647244,1.0423652
bmi160_gyroscope,smartphone,1497147985894,-1.89308,1.2382745,1.077501
bmi160_gyroscope,smartphone,1497147985897,-1.7834134,1.3660414,1.1339315
bmi160_gyroscope,smartphone,1497147985899,-1.6545818,1.4490899,1.1839736
bmi160_gyroscope,smartphone,1497147985902,-1.5268148,1.4959378,1.2425333
bmi160_gyroscope,smartphone,1497147985904,-1.375624,1.5044556,1.2968343
bmi160_gyroscope,smartphone,1497147985907,-1.2063328,1.4501547,1.3575236
bmi160_gyroscope,smartphone,1497147985909,-1.0232002,1.3681709,1.4182129
bmi160_gyroscope,smartphone,1497147985912,-0.84006757,1.2574395,1.4789022
bmi160_gyroscope,smartphone,1497147985914,-0.65587026,1.1339315,1.5151029
bmi160_gyroscope,smartphone,1497147985916,-0.47486708,0.9933879,1.560886
bmi160_gyroscope,smartphone,1497147985919,-0.28960505,0.8496501,1.5843099
bmi160_gyroscope,smartphone,1497147985922,-0.111796066,0.73146564,1.5938925
bmi160_gyroscope,smartphone,1497147985925,0.050042048,0.6015693,1.5885688
bmi160_gyroscope,smartphone,1497147985927,0.20549181,0.47060817,1.518297
bmi160_gyroscope,smartphone,1497147985929,0.32048205,0.31728786,1.3990479
bmi160_gyroscope,smartphone,1497147985932,0.41311306,0.1746148,1.2350804
bmi160_gyroscope,smartphone,1497147985935,0.4578315,0.014906142,1.0040351
bmi160_gyroscope,smartphone,1497147985937,0.45144314,-0.15332031,0.706977
bmi160_gyroscope,smartphone,1497147985939,0.40353054,-0.2874756,0.36839464
bmi160_gyroscope,smartphone,1497147985942,0.32367623,-0.23956299,0.019165039
bmi160_gyroscope,smartphone,1497147985945,0.27576363,0.15438505,-0.28534615
bmi160_gyroscope,smartphone,1497147985947,0.18100315,0.5302327,-0.55685085
