sensor_type,device_type,timestamps,x,y,z
orientation,smartphone,1497147985890,236.22543,-20.118893,1.037401
orientation,smartphone,1497147985895,235.83217,-19.554173,0.8374417
orientation,smartphone,1497147985901,235.38959,-19.049183,0.57002026
orientation,smartphone,1497147985906,234.90997,-18.620388,0.2800918
orientation,smartphone,1497147985911,234.40726,-18.286818,0.016170474
orientation,smartphone,1497147985916,233.89264,-18.058895,-0.18558893
orientation,smartphone,1497147985920,233.3807,-17.935686,-0.3098398
orientation,smartphone,1497147985926,232.88399,-17.914604,-0.36263338
orientation,smartphone,1497147985931,232.43538,-17.981092,-0.35228798
orientation,smartphone,1497147985935,232.09268,-18.10079,-0.28649044
orientation,smartphone,1497147985941,231.92357,-18.227507,-0.18045262
orientation,smartphone,1497147985946,231.94298,-18.31903,-0.122429945
orientation,smartphone,1497147985951,232.04865,-18.36807,-0.31903848
orientation,smartphone,1497147985955,232.2592,-18.303652,-0.5769648
orientation,smartphone,1497147985960,232.5185,-18.126947,-0.85414547
orientation,smartphone,1497147985966,232.73697,-17.930367,-1.1193444
orientation,smartphone,1497147985971,232.8871,-17.749298,-1.3935033
orientation,smartphone,1497147985975,232.96902,-17.593843,-1.6891791
orientation,smartphone,1497147985980,233.01181,-17.471155,-1.9961271
orientation,smartphone,1497147985986,233.03862,-17.380032,-2.2937038
orientation,smartphone,1497147985991,233.0701,-17.310331,-2.5593364
orientation,smartphone,1497147985996,233.12257,-17.22427,-2.7648516
orientation,smartphone,1497147986001,233.2081,-17.130564,-2.9155369
orientation,smartphone,1497147986005,233.32776,-17.032846,-3.0114899
orientation,smartphone,1497147986010,233.47089,-16.907425,-3.0494204
orientation,smartphone,1497147986015,233.62209,-16.798002,-3.0736368
orientation,smartphone,1497147986020,233.77855,-16.71162,-3.0815651
orientation,smartphone,1497147986025,233.94406,-16.67274,-3.07133
orientation,smartphone,1497147986030,234.1199,-16.702394,-3.0375555
orientation,smartphone,1497147986035,234.30226,-16.813622,-2.987408
orientation,smartphone,1497147986040,234.4812,-17.01127,-2.9240143
orientation,smartphone,1497147986046,234.65952,-17.284681,-2.8177786
orientation,smartphone,1497147986050,234.84937,-17.593325,-2.6313744
orientation,smartphone,1497147986055,235.05563,-17.905516,-2.3778162
orientation,smartphone,1497147986060,235.27992,-18.190191,-2.0834248
orientation,smartphone,1497147986065,235.51846,-18.466702,-1.7810243
