sensor_type,device_type,timestamps,x,y,z
rpr0521_light_sensor,smartphone,1497147986167,87.231995,0.0,0.0
rpr0521_light_sensor,smartphone,1497147986366,80.01399,0.0,0.0
rpr0521_light_sensor,smartphone,1497147986568,14.435999,0.0,0.0
rpr0521_light_sensor,smartphone,1497147986762,2.406,0.0,0.0
rpr0521_light_sensor,smartphone,1497147986960,1.6099999,0.0,0.0
rpr0521_light_sensor,smartphone,1497147987157,0.0,0.0,0.0
rpr0521_light_sensor,smartphone,1497148025917,16.1,0.0,0.0
rpr0521_light_sensor,smartphone,1497148026123,26.744995,0.0,0.0
rpr0521_light_sensor,smartphone,1497148026314,32.172997,0.0,0.0
rpr0521_light_sensor,smartphone,1497148026508,25.849998,0.0,0.0
rpr0521_light_sensor,smartphone,1497148414672,38.833,0.0,0.0
rpr0521_light_sensor,smartphone,1497148414871,19.863998,0.0,0.0
rpr0521_light_sensor,smartphone,1497148415072,8.729,0.0,0.0
rpr0521_light_sensor,smartphone,1497148415272,0.0,0.0,0.0
rpr0521_light_sensor,smartphone,1497148468453,21.396,0.0,0.0
rpr0521_light_sensor,smartphone,1497148468652,250.735,0.0,0.0
rpr0521_light_sensor,smartphone,1497148468850,317.266,0.0,0.0
rpr0521_light_sensor,smartphone,1497148469051,308.537,0.0,0.0
rpr0521_light_sensor,smartphone,1497148469248,292.869,0.0,0.0
rpr0521_light_sensor,smartphone,1497148469442,294.043,0.0,0.0
