,acc_phone_x,acc_phone_y,acc_phone_z,gyr_phone_x,gyr_phone_y,gyr_phone_z,rot_phone_x,rot_phone_y,rot_phone_z,rot_phone_theta,rot_phone_phi,labelstairsdown,labelstairsup,labelstanding,labelwalking,labelsitting,labelondesk
2017-06-21 01:56:50.795,-5.60564902539,3.79086361241,6.04700228806,-0.184124359843,0.755516549679,-1.19668537513,-0.0448885076539,0.400704958883,0.63749142883,0.591213055266,0.5235988,1,0,0,0,0,0
2017-06-21 01:56:51.795,-4.81214394121,-5.1471181708,-1.02744551223,-0.129150276055,1.00327838787,,-0.55514140335,0.4372372605,0.064016369135,0.6049086828,0.5235988,1,0,0,0,0,0
2017-06-21 01:56:52.795,2.36906458273,-7.97791243759,-2.36836829155,-0.0372760292028,-0.0153170896058,0.0785681221561,-0.73156697865,0.30954453625,-0.3929010554,0.4605109682,0.5235988,1,0,0,0,0,0
2017-06-21 01:56:53.795,2.58273529397,-8.7978711205,-3.48444819738,-0.129856445374,-0.14881120538,0.0314785767688,-0.7555312725,0.32829142875,-0.3367170914,0.4487686403,0.5235988,1,0,0,0,0,0
2017-06-21 01:56:54.795,2.4609784733,-8.13835453775,-2.92882160983,-0.0697994896757,-0.127147839712,0.0456283765063,-0.7754510157,0.31696944395,-0.2926139248,0.4520287559,0.5235988,1,0,0,0,0,0
2017-06-21 01:56:55.795,2.0808050343,-8.0879513795,-3.28915231989,0.386972890575,-0.0914946109002,-0.161750488963,-0.76880776385,0.27240408185,-0.2687410961,0.50534373935,0.5235988,1,0,0,0,0,0
2017-06-21 01:56:56.795,3.40255456118,-10.049538394,-1.14055757725,0.118934250911,-1.41855180067,-0.0665546141028,-0.6993252477,-0.0484821758965,-0.0661398221145,0.67739397035,0.5235988,1,0,0,0,0,0
2017-06-21 01:56:57.795,2.64945454317,-8.9485477805,-2.12258017198,0.444123165408,-1.04743860526,-0.161590560535,-0.56010018315,-0.46245924355,0.3044709108,0.58349072845,0.5235988,1,0,0,0,0,0
2017-06-21 01:56:58.795,2.01096027389,-7.91331849525,-2.04619699908,-0.029684515425,-0.38088918323,-0.216205599792,-0.29497882055,-0.73874924795,0.49931016695,0.3335502392,0.5235988,1,0,0,0,0,0
2017-06-21 01:56:59.795,1.94755811569,-8.9949273475,-3.35300952718,-0.136337960464,-0.133260908202,0.0629997438095,-0.26479673875,-0.76413673705,0.50033889615,0.3001931523,0.5235988,1,0,0,0,0,0
2017-06-21 01:57:00.795,2.19845396215,-8.63153672732,-2.92779445495,0.0130035126546,-0.134069882288,0.0377003168895,-0.27434190665,-0.75434339375,0.50915617745,0.29728514165,0.5235988,1,0,0,0,0,0
