,acc_phone_x,acc_phone_y,acc_phone_z,gyr_phone_x,gyr_phone_y,gyr_phone_z,rot_phone_x,rot_phone_y,rot_phone_z,rot_phone_theta,rot_phone_phi,labelstairsdown,labelstairsup,labelstanding,labelwalking,labelsitting,labelondesk
2017-06-21 01:56:50.795,-5.6056490253904281,3.7908636124055413,6.0470022880604528,-0.184124359843,0.755516549679,-1.19668537513,-0.0448885076539,0.400704958883,0.63749142883,0.591213055266,0.5235988,1,0,0,0,0,0
2017-06-21 01:56:51.795,-4.8121439412104738,-5.1471181707980049,-1.0274455122294266,-0.129150276055,1.00327838787,-1.74313705617,-0.55514140335,0.4372372605,0.064016369135,0.6049086828,0.5235988,1,0,0,0,0,0
2017-06-21 01:56:52.795,2.3690645827318297,-7.9779124375939849,-2.3683682915538848,-0.0372760292028,-0.0153170896058,0.0785681221561,-0.73156697865,0.30954453625,-0.3929010554,0.4605109682,0.5235988,1,0,0,0,0,0
2017-06-21 01:56:53.795,2.5827352939665,-8.7978711205,-3.4844481973782502,-0.129856445374,-0.14881120538,0.0314785767688,-0.7555312725,0.32829142875,-0.3367170914,0.4487686403,0.5235988,1,0,0,0,0,0
2017-06-21 01:56:54.795,2.4609784733010001,-8.1383545377499988,-2.9288216098275002,-0.0697994896757,-0.127147839712,0.0456283765063,-0.7754510157,0.31696944395,-0.2926139248,0.4520287559,0.5235988,1,0,0,0,0,0
2017-06-21 01:56:55.795,2.0808050343015001,-8.0879513794999998,-3.2891523198949999,0.386972890575,-0.0914946109002,-0.161750488963,-0.76880776385,0.27240408185,-0.2687410961,0.50534373935,0.5235988,1,0,0,0,0,0
2017-06-21 01:56:56.795,3.4025545611814532,-10.049538393984962,-1.1405575772488721,0.118934250911,-1.41855180067,-0.0665546141028,-0.6993252477,-0.0484821758965,-0.0661398221145,0.67739397035,0.5235988,1,0,0,0,0,0
2017-06-21 01:56:57.795,2.6494545431700001,-8.9485477805000002,-2.1225801719824999,0.444123165408,-1.04743860526,-0.161590560535,-0.56010018315,-0.46245924355,0.3044709108,0.58349072845,0.5235988,1,0,0,0,0,0
2017-06-21 01:56:58.795,2.0109602738925001,-7.9133184952500004,-2.0461969990750002,-0.029684515425,-0.38088918323,-0.216205599792,-0.29497882055,-0.73874924795,0.49931016695,0.3335502392,0.5235988,1,0,0,0,0,0
2017-06-21 01:56:59.795,1.9475581156942503,-8.9949273474999991,-3.3530095271824996,-0.136337960464,-0.133260908202,0.0629997438095,-0.26479673875,-0.76413673705,0.50033889615,0.3001931523,0.5235988,1,0,0,0,0,0
2017-06-21 01:57:00.795,2.1984539621538848,-8.6315367273182968,-2.9277944549548875,0.0130035126546,-0.134069882288,0.0377003168895,-0.27434190665,-0.75434339375,0.50915617745,0.29728514165,0.5235988,1,0,0,0,0,0
2017-06-21 01:57:01.795,1.9467378154750004,-8.8099360227499997,-2.2126269103982503,0.403908528165,-0.383487110559,-0.186537053993,-0.107679902523,-0.74677920485,0.5992184275,0.23070598115,0.5235988,1,0,0,0,0,0
2017-06-21 01:57:02.795,3.1524385915074999,-8.6950828560650013,-1.5857125563574999,0.516801253284,-1.13733861066,-0.219673939368,-0.090330326502,-0.14773479185,0.01089239405,0.0821189982605,0.5235988,1,0,0,0,0,0
2017-06-21 01:57:03.795,2.4637488916659152,-8.29763253508772,-2.3370169437243109,0.0410732806742,-1.21853305059,-0.062434479102,-0.6411231268,0.43486669465,-0.4030193811,0.43348036085,0.5235988,1,0,0,0,0,0
2017-06-21 01:57:04.795,1.52762135444825,-8.5430529649999993,-2.9493289788750001,0.0063910073925,0.00685416302575,-0.0538244816133,-0.74889003445,0.29759971585,-0.26683326,0.52235090325,0.5235988,1,0,0,0,0,0
2017-06-21 01:57:05.795,1.6559285524825003,-8.6182865809999996,-2.9097153433899994,0.002004346072,-0.054846615923,0.0140011252768,-0.7499586348,0.2702503933,-0.27102055595,0.5319030884,0.5235988,1,0,0,0,0,0
2017-06-21 01:57:06.795,1.99918875285175,-8.8560161750000006,-2.7457582857775003,-0.0666464230373,-0.157800142882,0.001293640887,-0.73603612095,0.26756760195,-0.26296012155,0.55727236785,0.5235988,1,0,0,0,0,0
2017-06-21 01:57:07.795,2.6247854532355888,-9.3179889293233078,-1.899784794546366,0.0623090597722,-0.67558231316,-0.0162884159218,-0.71562574205,0.083296495179,-0.206753462295,0.6478416956,0.5235988,1,0,0,0,0,0
2017-06-21 01:57:08.795,2.7932515236824997,-9.4021286090000018,-1.8251786003674999,0.350749497573,-1.07114735258,-0.126074017806,-0.6982569271,-0.208166458625,0.0494580450895,0.6587670761,0.5235988,1,0,0,0,0,0
2017-06-21 01:57:09.795,2.0046673577549998,-8.0729645245000015,-2.1016476912875,0.219724513428,-0.760652425034,-0.230829589228,-0.4789833902,-0.6032657495,0.4110545018,0.47372708075,0.5235988,1,0,0,0,0,0
2017-06-21 01:57:10.795,1.4756922517506266,-8.8976359919799481,-2.8216152522423559,-0.000325551165664,-0.381843796482,-0.13286906705,-0.27949189375,-0.76097539385,0.49889830655,0.28940151715,0.5235988,1,0,0,0,0,0
2017-06-21 01:57:11.795,1.6945422592825004,-8.7909135987500004,-2.9499696447749999,0.0162629363651,0.054340772701,0.0111039338476,-0.2597575494,-0.7743611932,0.50654266045,0.26479162325,0.5235988,1,0,0,0,0,0
2017-06-21 01:57:12.795,1.4889837117792502,-8.6463801037499994,-3.0800491344525001,0.0728709126145,-0.0432907877506,0.0258415801902,-0.2882633626,-0.75685379135,0.50703252755,0.2802395662,0.5235988,1,0,0,0,0,0
2017-06-21 01:57:13.795,1.6796691807132498,-8.3786049727499989,-3.0220237955975007,0.125980853471,-0.412117552645,-0.0056989375675,-0.226820998835,-0.7610426636,0.55004812615,0.23995281,0.5235988,1,0,0,0,0,0
2017-06-21 01:57:14.795,2.5419840360249997,-9.0305592295000015,-0.88995336778500023,0.0835063374338,-1.07217215356,-0.097017689169,-0.114663216254,-0.0155036631,0.10228792325,0.121803359026,0.5235988,1,0,0,0,0,0
2017-06-21 01:57:15.795,2.9675433813458643,-9.1919593140350884,-1.522404130907268,0.108511163143,-1.61343640157,-0.0730176780509,-0.5078666544,0.5409375274,-0.501590401,0.36909910895,0.5235988,1,0,0,0,0,0
2017-06-21 01:57:16.795,1.74388564933825,-8.2807205347499995,-2.9617950452750001,0.0125584232597,-0.00955856688625,-0.056992035434,-0.75494262455,0.3248513051,-0.2799356445,0.4890527129,0.5235988,1,0,0,0,0,0
2017-06-21 01:57:17.795,1.7391435071649999,-8.5249765934999999,-2.8939620935767505,0.025553385804,-0.0025313814675,-0.0282710945695,-0.75168558215,0.3275362344,-0.3003585242,0.48033231495,0.5235988,1,0,0,0,0,0
2017-06-21 01:57:18.795,1.897749925897243,-8.7020607077694248,-2.9064853810433582,0.157177279884,-0.149473998138,-0.132590129305,-0.75331610755,0.331570621,-0.29279004505,0.48120602865,0.5235988,1,0,0,0,0,0
