,acc_phone_x,acc_phone_y,acc_phone_z,gyr_phone_x,gyr_phone_y,gyr_phone_z,rotation_phone_x,rotation_phone_y,rotation_phone_z,rotation_phone_theta,rotation_phone_phi,labelstairsdown,labelstairsup,labelwalking,acc_phone_x_kalman,acc_phone_y_kalman,acc_phone_z_kalman,gyr_phone_x_kalman,gyr_phone_y_kalman,gyr_phone_z_kalman,rotation_phone_x_kalman,rotation_phone_y_kalman,rotation_phone_z_kalman,rotation_phone_theta_kalman,rotation_phone_phi_kalman
2017-06-25 00:23:33.041,1.24026967805,1.30248177561,9.85807615854,-0.0948445282895,0.0192771154211,-0.0246287562895,-0.0191802468,-0.1062626619,-0.743604571,0.659841073,2.0943952,1,0,0,1.48124118336,0.628741028901,7.6138769501,-0.0608172527205,-0.29368936453,0.107471985605,-0.0264301955159,-0.110790561201,-0.728983303221,0.653935985508,2.07141805381
2017-06-25 00:23:33.141,1.05746104475,1.162243152,9.73168325,-0.013016255965,-0.384871254815,0.0946539988,-0.02323684525,-0.10720028455,-0.74212607,0.6611969245,2.0943952,1,0,0,1.37482899787,0.79225061435,8.287021298,-0.0268631797249,-0.346793690643,0.098880383179,-0.0243812483776,-0.10845756997,-0.737546893996,0.658574691549,2.08601211889
2017-06-25 00:23:33.241,1.9361937355,-0.7851473189,7.9205694075,-0.5229660139,-2.06836025,0.91222924825,-0.0745184244,-0.1396916595,-0.7270660915,0.6670874045,2.0943952,1,0,0,1.57172499132,0.134900052144,8.1314323855,-0.398734486617,-1.45868794847,0.680822636325,-0.0580260510308,-0.129711964349,-0.730386260015,0.664257651319,2.09157577714
2017-06-25 00:23:33.341,5.18964831,-2.3185586175,10.2800829075,0.41066420225,-3.037738575,2.09617616,-0.1920343205,-0.205669365,-0.65846924,0.6956923595,2.0943952,1,0,0,2.98342299475,-0.973993050545,9.11524982149,0.209952159,-2.49082795712,1.69860671589,-0.148375557355,-0.181635560897,-0.681025476634,0.685341917307,2.09345595573
2017-06-25 00:23:33.441,5.9088127675,-2.5278234625,8.02648913625,4.3667542225,,3.421864545,-0.2775578485,-0.3959844415,-0.459494621,0.7335811165,2.0943952,1,0,0,4.16680513238,-1.69241395251,8.60626654536,3.33658674925,-2.49082795712,2.93829629951,-0.23551454465,-0.328228469961,-0.528907656369,0.717713929119,2.09408262147
2017-06-25 00:23:33.541,11.9997668725,2.14479992,-4.15404181575,3.03531635575,-3.933251665,0.950772281,-0.2735681095,-0.6332690285,-0.1788853247,0.6972352045,2.0943952,1,0,0,7.37485688169,0.0931934881343,2.60636410921,3.10997657331,-3.58453349624,1.50845241138,-0.261184660513,-0.536854737897,-0.288548430655,0.703970478105,2.09429116927
2017-06-25 00:23:33.641,6.7606613525,-1.096020869,-3.01532969438,-1.06863726921,-0.351013017575,0.241426259825,-0.2805165875,-0.698146358,-0.124795613,0.646523078,2.0943952,1,0,0,7.12223285426,-0.461208042899,-0.0412314640809,-0.033105178335,-1.42899742933,0.59693937659,-0.274225634895,-0.647167346774,-0.176099403935,0.665416742212,2.09436055999
2017-06-25 00:23:33.741,5.7472088575,-0.038978947825,-1.308219587,0.0593051485,-0.331608417332,0.9576929845,-0.31009379,-0.706746684,-0.11512345755,0.6251952225,2.0943952,1,0,0,6.55584027476,-0.264266006272,-0.638202195997,0.0364042911692,-0.708980121944,0.856469675585,-0.298421660381,-0.687915633483,-0.134227215855,0.638423510502,2.09438364813
2017-06-25 00:23:33.841,7.399353245,-5.3280205415,-1.81039534175,-1.65833489375,1.97828456623,2.77429915,-0.3883817885,-0.656974047,-0.08765281725,0.637885403,2.0943952,1,0,0,6.90347237199,-2.62652342041,-1.19057780609,-1.23834952819,1.05083424617,2.23617831151,-0.359107174845,-0.666753638973,-0.102244570383,0.638062371489,2.09439133015
2017-06-25 00:23:33.941,12.1625238677,-7.95908012744,1.39353297077,-0.06625247095,1.19086762694,1.0539972975,-0.4968088395,-0.5186623335,-0.10801290035,0.6870327755,2.0943952,1,0,0,9.07123620009,-5.11428274289,0.0271823532121,-0.356718152353,1.14251740495,1.38570364259,-0.451998288868,-0.565469096446,-0.106205682927,0.670927080858,2.09439388616
2017-06-25 00:23:34.041,6.222201015,-3.743295928,1.58053331592,-0.918939063333,-0.557151164282,2.31755013077,-0.5361110305,-0.4855894585,-0.07833283775,0.684760912,2.0943952,1,0,0,7.89680195956,-4.47467845786,0.75920495569,-0.779611106143,0.0297346857295,2.05608478992,-0.508739283654,-0.510836760213,-0.0870653989523,0.680211168499,2.09439473661
2017-06-25 00:23:34.141,5.2258729775,-7.80596768,-0.038739461,1.01329822327,-0.970283352775,2.23315295285,-0.5874521435,-0.4201537015,0.060555766635,0.687483578,2.0943952,1,0,0,6.79576394599,-6.02882482888,0.383169537949,0.56898468783,-0.62498071822,2.18346960617,-0.561837615418,-0.448815620571,0.014306075468,0.685091764445,2.09439501958
2017-06-25 00:23:34.241,3.59043383225,-5.2570081925,0.378592743,-0.533373690675,0.7313858084,1.23803491795,-0.603816373,-0.3990893255,0.09985824205,0.6822970585,2.0943952,1,0,0,5.474419985,-5.66874882076,0.381012691756,-0.260190462179,0.263037013059,1.50331302097,-0.590155758911,-0.414806169912,0.0730547577125,0.683216193287,2.09439511373
